origin_as,prefix_count,cv_mean_within_as,as_prefix_cv_stddev,as_prefix_cv_range,total_updates
23888,29,0.4645956696300581,0.19733448639474802,0.7210728159753412,37916
23889,3,0.3267154015710202,0.18979419660541155,0.37453570154179894,3912
23900,3,0.42037126470878833,0.42086349358674857,0.8402461674985479,1644
23901,4,0.4079776093299103,0.32710987343727854,0.7364103278665488,6588
23910,7,0.12853084921933625,0.10195862423988677,0.19624440973184817,586408
23911,4,0.141071677599517,0.11523561379602155,0.19974593940997626,379357
23918,5,0.6428688270224447,0.0,0.0,19630
23923,16,0.5293294145274665,0.25418432180701106,1.0736787483611436,24827
23930,43,0.679444480115246,0.25034052752776803,1.1895662301078513,1010795
23934,21,0.5909112950509248,0.0755432823472995,0.46785199813652983,27995
23944,3,0.5703313109479056,0.44961974341647665,0.8347087462685508,2376
23949,16,0.6042068566134843,0.06240744729700409,0.15705402772994992,38983
23951,26,0.27121890575905944,0.11373627776534932,0.3026260503129734,881080
23952,16,0.43782321855989975,0.0,0.0,13728
23953,32,0.6202159672114395,0.37030555360003237,1.071864736655744,40996
23955,4,0.07906293851529866,0.013269737728721073,0.027392162275532636,1805
23956,7,0.6021324034451567,0.27750250384051756,0.8685811057417829,9049
23957,4,1.2017517884211437,0.0,0.0,4948
23966,18,0.5386787756994585,0.21611267143186497,0.7078068028778349,29528
23969,20,0.3915452525579416,0.2484987644130984,0.8450498413022047,17952
23991,10,0.3518736184004779,0.27191867859978197,0.6871109466906287,25904
24012,8,0.4089152493986433,0.12290058299729666,0.3962851376248011,7133
24016,8,0.536956461615708,0.23246713405055738,0.7641285247562497,12611
24028,5,0.06149487977036459,0.012885328434716382,0.03362299964836448,1718
24084,46,0.4204666740367647,0.1632457559064288,0.718556619204628,38703
24085,7,0.33873060271255356,0.1827414429726217,0.38645356326768915,6285
24086,17,0.5065411042367383,0.3463565075395017,0.9291880755442397,16169
24088,5,0.5055952095051224,0.48067388106338826,1.0168659480445974,3257
24090,17,0.6635446980725208,0.35685818049530066,0.8263939108381082,23207
24107,5,0.009027474924817414,0.0019125152622549504,0.00349175916903315,2037
24109,3,0.5858324832723761,0.136617419107466,0.2731705234759678,2509
24122,8,0.3782843734353911,0.3478092127773507,0.891399669097594,4776
24151,4,0.06326270703724958,0.014847701624002714,0.035477406713785874,1499
24157,3,0.06357738607684991,0.021264798699596615,0.0418710181493421,1047
24158,164,0.19605437800191655,0.24119033866172795,0.5662380817832908,68008
24164,26,0.414138449443895,0.12247281217352377,0.5328138741582578,25224
24173,92,0.3270866059525745,0.349758180314723,1.3762024231889016,387662
24176,3,0.49808779555278826,0.05584528501628318,0.0967268710113674,1160
24186,65,0.47577411562832594,0.41405180322240964,1.3700960441521557,86039
24195,16,0.3960331119209517,0.04673415097541905,0.09623637339255225,27117
24203,125,0.3625827035391255,0.30000949299062835,1.0926635125319486,248929
24206,6,0.9545352111302589,0.11919344583563513,0.21761646330315854,9189
24207,16,0.5303000739074097,0.3380633746555596,1.148198230838405,90117
24209,7,0.04891669411902067,0.001033320761497773,0.002117677393702312,4510
24211,6,0.19175542310456958,0.1990715679017515,0.4016979833087088,3837339
24222,5,0.5234833786253419,0.2303269676838108,0.4943862603661147,8827
24298,6,0.3899530919160806,0.30253401109805556,0.7706961966778728,5864
24309,93,0.3457915783091323,0.32421801553277674,0.8986116678113808,118188
24314,5,0.1377793056358545,0.0953065868251394,0.18108891455248147,2698
